321.5,15130,2099067,6648085,37213642,0,9195185,7108802,
322.5,12074,2289923,7047866,34135690,0,8697110,6488309,
323.5,9606,2505640,7484135,31377245,0,8275325,5934716,
324.5,7621,2749101,7958886,28908742,0,7924870,5443340,
325.5,6028,3023490,8474094,26702639,0,7641250,5010186,
326.5,4754,3332305,9031682,24733493,0,7420447,4631987,
327.5,3739,3679371,9633472,22977965,0,7258910,4306214,
328.5,2933,4068843,10281138,21414786,0,7153540,4031034,
329.5,2294,4505209,10976152,20024678,0,7101667,3805208,
330.5,1789,4993282,11719720,18790254,0,7101009,3627924,
331.5,1392,5538184,12512719,17695905,0,7149640,3498556,
332.5,1080,6145324,13355626,16727668,0,7245940,3416390,
333.5,836,6820358,14248445,15873104,0,7388549,3380367,
334.5,646,7569136,15190631,15121166,0,7576316,3388908,
335.5,497,8397643,16181017,14462074,0,7808246,3439867,
336.5,382,9311911,17217742,13887195,0,8083446,3530623,
337.5,293,10317920,18298177,13388933,0,8401065,3658257,
338.5,224,11421482,19418869,12960626,0,8760240,3819761,
339.5,171,12628103,20575482,12596443,0,9160040,4012220,
340.5,130,13942827,21762763,12291303,0,9599405,4232928,
341.5,99,15370063,22974513,12040788,0,10077093,4479446,
342.5,75,16913399,24203582,11841075,0,10591626,4749604,
343.5,57,18575401,25441880,11688866,0,11141241,5041469,
344.5,43,20357402,26680419,11581326,0,11723838,5353288,
345.5,32,22259289,27909369,11516032,0,12336944,5683427,
346.5,24,24279295,29118149,11490919,0,12977677,6030304,
347.5,18,26413790,30295542,11504233,0,13642717,6392327,
348.5,14,28657096,31429835,11554491,0,14328287,6767832,
349.5,10,31001327,32508982,11640436,0,15030151,7155029,
350.5,8,33436252,33520794,11761003,0,15743611,7551958,
351.5,6,35949210,34453146,11915279,0,16463528,7956444,
352.5,4,38525070,35294198,12102469,0,17184348,8366069,
353.5,3,41146246,36032626,12321861,0,17900147,8778142,
354.5,2,43792775,36657859,12572793,0,18604686,9189693,
355.5,2,46442474,37160305,12854617,0,19291480,9597466,
356.5,1,49071149,37531583,13166666,0,19953880,9997930,
357.5,0,51652899,37764720,13508220,0,20585168,10387306,
358.5,0,54160473,37854336,13878474,0,21178657,10761603,
359.5,0,56565697,37796799,14276499,0,21727799,11116673,
360.5,0,58839969,37590335,14701214,0,22226304,11448271,
361.5,0,60954789,37235111,15151351,0,22668250,11752139,
362.5,0,62882332,36733264,15625422,0,23048204,12024092,
363.5,0,64596040,36088891,16121691,0,23361324,12260114,
364.5,0,66071214,35307985,16638142,0,23603468,12456461,
365.5,0,67285598,34398339,17172461,0,23771280,12609762,
366.5,0,68219922,33369393,17722007,0,23862265,12717125,
367.5,0,68858396,32232055,18283803,0,23874851,12776226,
368.5,0,69189133,30998479,18854518,0,23808426,12785400,
369.5,0,69204490,29681826,19430470,0,23663357,12743710,
370.5,0,68901308,28296002,20007623,0,23440986,12651007,
371.5,0,68281040,26855379,20581602,0,23143604,12507962,
372.5,0,67349774,25374524,21147714,0,22774402,12316082,
373.5,0,66118129,23867927,21700973,0,22337406,12077704,
374.5,0,64601046,22349739,22236146,0,21837386,11795963,
375.5,0,62817461,20833535,22747798,0,21279759,11474736,
376.5,0,60789888,19332097,23230351,0,20670467,11118562,
377.5,0,58543912,17857230,23678157,0,20015860,10732549,
378.5,0,56107620,16419611,24085568,0,19322560,10322249,
